,setpoint_raw-global_latitude,setpoint_raw-global_longitude,setpoint_raw-global_altitude,battery_voltage,battery_current,battery_temperature,battery_percentage,global_position-local_pose.pose.position.x,global_position-local_pose.pose.position.y,global_position-local_pose.pose.position.z,global_position-local_pose.pose.orientation.x,global_position-local_pose.pose.orientation.y,global_position-local_pose.pose.orientation.z,global_position-local_twist.twist.linear.x,global_position-local_twist.twist.linear.y,global_position-local_twist.twist.linear.z,imu-data_orientation.x,imu-data_orientation.y,imu-data_orientation.z,imu-data_orientation.w,imu-data_angular_velocity.x,imu-data_angular_velocity.y,imu-data_angular_velocity.z,rc-out_channels_0,rc-out_channels_1,rc-out_channels_2,rc-out_channels_3,rc-out_channels_4,vfr_hud_airspeed,vfr_hud_groundspeed,vfr_hud_heading,vfr_hud_throttle,vfr_hud_altitude,vfr_hud_climb,global_position-global_altitude,global_position-global_longitude,global_position-global_latitude,global_position-raw-satellites_data,setpoint_raw-target_global_latitude,setpoint_raw-target_global_longitude,setpoint_raw-target_global_altitude,setpoint_raw-target_global_yaw,state_connected,state_armed,state_guided,state_manual_input,state_system_status,battery_drain_rate,battery_change_rate,gyro_magnitude,quaternion_magnitude,rc_output_mean,rc_output_std,battery_voltage_rolling_std,throttle_altitude_ratio,motion_activity_level
setpoint_raw-global_latitude,1.0,-0.7476893151246529,0.762183866552742,-0.026667555786871324,-0.04914026820006996,,0.04914026820006996,-0.06600320843546001,0.07232693550349853,0.14625356613764068,0.0002480586905829,-0.048114612612900336,0.12736202816279857,-0.058399471675487785,-0.062217684122600106,-0.028549257018871177,-0.000569891847235208,-0.04852555990946863,0.12626051300711796,-0.1316450633564779,0.05011214473611839,-0.07364048689470121,0.08669317397822703,0.02044040405656327,-0.013321863114105808,0.04859029552016853,0.02753274045433019,,0.09633842895405798,0.07480855988656543,-0.10180713525862241,0.042151909438551696,0.1689044516468587,-0.014083123578311103,0.1783277694761998,-0.1866910534614579,0.18726242724135705,-0.09136984617470154,0.13034082805700142,-0.09536077799630953,0.08438038568366069,,,0.012518689296952445,0.01361274756993647,,0.01746918194596714,,,0.09468454286172899,-0.004211880667631931,0.02777608096872978,0.02889279036041693,0.04092875190337045,0.7251243590959568,0.09468454286172899
setpoint_raw-global_longitude,-0.7476893151246529,1.0,-0.7093889217347038,-0.018775180240624773,0.06479392842949351,,-0.06479392842949351,0.08524395669149204,-0.08935578475887687,-0.17576555095055044,-0.05301632254745234,0.058783019724328436,-0.07650199734951696,0.07861519322591307,0.03540702931076071,0.030571465879936435,-0.05194188342268712,0.05842623236605751,-0.07549607384058402,0.09020250042562267,-0.03676998844194015,0.07486430964194413,-0.08254568869367143,0.006203919278743031,0.01597476777862318,0.0014279957255197483,0.01801581618269063,,-0.12847712450848428,-0.1066918411319423,0.04770873620578958,-0.00013965684008064415,-0.18511508467463506,0.0056797942355509366,-0.20045256219080196,0.1854226391373017,-0.18463368997437948,0.02221987511224947,-0.13348814089391925,0.1749646800978839,-0.1542759707116441,,,0.0038324775564388637,-0.002797682854935636,,0.00674979883738317,,,-0.09423823813114544,0.0014959653885174397,0.014629174703590637,0.013399641170849855,-0.05041060092653475,-0.682626616242234,-0.09423823813114544
setpoint_raw-global_altitude,0.762183866552742,-0.7093889217347038,1.0,-0.06424297131060382,-0.052797868690578065,,0.052797868690578065,-0.06439451002981535,0.06900004999216706,0.19578715032980945,0.0353883266545084,-0.029497910824349643,0.08228979935046406,-0.05522119957965399,-0.043645455480776384,-0.033364183302909474,0.03435951307221282,-0.02941643317038763,0.08146534932900128,-0.13176913639051943,0.05525999786811688,-0.0736919448068236,0.09263877569466085,0.03168391724360538,0.02346346785448879,0.059702144247478724,0.053128511309742416,,0.1287976854130533,0.11061103698984637,-0.08691177038942284,0.0651409059580403,0.1691701196990205,-0.0068688138751272325,0.15941799624677744,-0.14899761036420792,0.149356686060209,-0.07476070946770186,0.10399346178449181,-0.08827875426342655,0.12544277658769326,,,0.02255985232470331,0.024705107742796065,,0.01732000376453924,,,0.1096018174177977,-0.005378611741336556,0.05802358944986672,0.05632258653233597,0.046246148300280426,0.953214703191854,0.1096018174177977
battery_voltage,-0.026667555786871324,-0.018775180240624773,-0.06424297131060382,1.0,-0.5892796365885344,,0.5892796365885344,-0.4855310623074894,0.47994458813395546,-0.08910773539114769,0.026029610346233904,-0.2002755963524013,0.10858368822584286,-0.09012307011245864,0.1518222971413524,0.15531541349570363,0.027211178729109796,-0.1955947086317329,0.11273207476158732,0.16940441509734888,-0.07933118413548762,0.02045814931145145,0.04518596263310076,-0.7057477901176367,-0.6031667069925141,-0.7486065388031217,-0.8074274279802741,,-0.11253761928846075,-0.043864478239648154,0.006009109016029617,-0.7219583264943968,-0.3919899113386143,-0.12944473913952714,-0.3477928316745062,0.3450340046893584,-0.3434749783593534,-0.16691932100986234,0.014004465794390483,-0.014027857071878048,0.002168656569280537,,,-0.06550648261674377,-0.05560296121016244,,-0.024587766687644678,,,-0.051233998907705816,0.014068944023842485,-0.9332501716352951,-0.9285660615118085,0.02065545509906973,-0.10462268876684536,-0.051233998907705816
battery_current,-0.04914026820006996,0.06479392842949351,-0.052797868690578065,-0.5892796365885344,1.0,,-1.0,0.7886011259432267,-0.7798268709079793,-0.2182896357825854,-0.17118661754453335,0.3823788095903605,-0.1777072371628539,0.24830759214854775,0.04574266225167495,-0.10590267393139385,-0.17272555433106374,0.3783650245615756,-0.18211756503580612,-0.03128875166121703,-0.1509475396832903,0.19405111796212543,-0.2954894649385754,0.41103099663449705,0.2599322305745258,0.4260336828462497,0.45589494747214787,,-0.1464835231865491,-0.22797381256315682,0.14580318643846263,0.47605929249057855,0.22775659855412997,0.17515739253973653,0.3096276156086965,-0.440186581688354,0.43928085322054156,0.27259897423269136,-0.022271734807992636,0.02079071016459288,-0.026162302161726884,,,0.021834549933590745,0.0253054128361908,,0.05299686052058345,,,-0.19039166603289276,0.002847250389994526,0.6015827381952444,0.6086446318403422,-0.033197102931721,0.12853727975244206,-0.19039166603289276
battery_temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
battery_percentage,0.04914026820006996,-0.06479392842949351,0.052797868690578065,0.5892796365885344,-1.0,,1.0,-0.7886011259432267,0.7798268709079793,0.2182896357825854,0.17118661754453335,-0.3823788095903605,0.1777072371628539,-0.24830759214854775,-0.04574266225167495,0.10590267393139385,0.17272555433106374,-0.3783650245615756,0.18211756503580612,0.03128875166121703,0.1509475396832903,-0.19405111796212543,0.2954894649385754,-0.41103099663449705,-0.2599322305745258,-0.4260336828462497,-0.45589494747214787,,0.1464835231865491,0.22797381256315682,-0.14580318643846263,-0.47605929249057855,-0.22775659855412997,-0.17515739253973653,-0.3096276156086965,0.440186581688354,-0.43928085322054156,-0.27259897423269136,0.022271734807992636,-0.02079071016459288,0.026162302161726884,,,-0.021834549933590745,-0.0253054128361908,,-0.05299686052058345,,,0.19039166603289276,-0.002847250389994526,-0.6015827381952444,-0.6086446318403422,0.033197102931721,-0.12853727975244206,0.19039166603289276
global_position-local_pose.pose.position.x,-0.06600320843546001,0.08524395669149204,-0.06439451002981535,-0.4855310623074894,0.7886011259432267,,-0.7886011259432267,1.0,-0.9987710529327366,-0.4493017015536516,-0.12598956358539448,0.5714807088540231,-0.2589770177860113,0.3809290503997912,0.08851970521684663,-0.008686093866617442,-0.1256411668481379,0.5701792762255968,-0.25845066420021134,0.03784301599319271,-0.2258448203696216,0.33010327837582093,-0.4550284249648605,0.3451040038430061,0.18477105689325507,0.4196565891881179,0.41901926057946903,,-0.15421753251604609,-0.22975663384802603,0.13110207721754674,0.4645436928343312,0.209041538161797,0.16711528823856342,0.07281627010509306,-0.21294119626442662,0.2134279694994343,0.46093363543456345,-0.027948813990401347,0.0261750525949502,-0.027980173165662918,,,0.02258295956019052,0.02616615000316974,,0.05289830383170258,,,-0.36674331103436236,0.0011241220803440265,0.5221582509733284,0.5294521835932209,-0.025241114285325043,0.11448505627909056,-0.36674331103436236
global_position-local_pose.pose.position.y,0.07232693550349853,-0.08935578475887687,0.06900004999216706,0.47994458813395546,-0.7798268709079793,,0.7798268709079793,-0.9987710529327366,1.0,0.4586206176239193,0.12955031931551989,-0.5640225268830977,0.2731727287808789,-0.3824039292923399,-0.09230991961348908,0.005788783423658147,0.12937353592164125,-0.5630383429443797,0.27217099596809735,-0.05922831720318674,0.22433224885220737,-0.3344070003097543,0.46365901228877915,-0.34787823128614864,-0.19542831814054742,-0.41213815009776406,-0.4131639818814867,,0.15491110982484793,0.23039676698420886,-0.145154467737451,-0.457848867177681,-0.19407742181918936,-0.16530452313454702,-0.04814002068707063,0.1798439426789636,-0.1795518491364784,-0.49349371295163813,0.03045481601279261,-0.02733941967827878,0.029124337389832753,,,-0.024769015015542715,-0.028275673630324735,,-0.05531411756788354,,,0.3787071672282297,-0.0029859750589411645,-0.516542358791593,-0.5235392138337511,0.028093018340111655,-0.1082504914567721,0.3787071672282297
global_position-local_pose.pose.position.z,0.14625356613764068,-0.17576555095055044,0.19578715032980945,-0.08910773539114769,-0.2182896357825854,,0.2182896357825854,-0.4493017015536516,0.4586206176239193,1.0,0.21002232023291365,-0.35981490800083477,0.07645079969473077,-0.3075847158504888,-0.10221805960214184,-0.12966738564583116,0.202372994588422,-0.3567078796953184,0.06992438972387294,-0.16353750946201254,0.2045430660610613,-0.3480802076447977,0.4139368383495864,-0.029759154670223335,0.10927278366057439,0.018721569778908893,0.047051363052208424,,0.439543774758091,0.4006767650398513,-0.03390875878024099,0.03767047685678409,0.3827580191292531,-0.04320673327209237,0.4952024653506827,-0.3568729250794614,0.35648809062791986,-0.24005800677121816,0.03791261759301164,-0.03815162133682629,0.0497145434156025,,,-0.015226028221088074,-0.016811082146178286,,-0.05165289842718746,,,0.534751134323726,-0.014571626915284464,0.05378399553003945,0.048420079949782646,0.03093458009171238,0.07594193141415956,0.534751134323726
global_position-local_pose.pose.orientation.x,0.0002480586905829,-0.05301632254745234,0.0353883266545084,0.026029610346233904,-0.17118661754453335,,0.17118661754453335,-0.12598956358539448,0.12955031931551989,0.21002232023291365,1.0,-0.002771025491997488,-0.09045730140922961,-0.10430837078020537,0.07270522077764754,-0.00849002054452514,0.9057026852996761,-0.020134504127567916,-0.10932588231173955,0.11636303783883563,0.06659696567567944,-0.07275200078760127,0.13836195740495946,-0.05188402230252663,-0.011432891124742875,-0.06056829510198502,-0.013064739538454183,,0.19914584485409118,0.1610170956375306,0.027958620221112312,-0.05246106198507803,0.18552691101273247,-0.06191891896996944,0.1437115754407712,-0.07363125958515863,0.07434687261403825,0.014469398998642536,0.022724924790770543,-0.02264807585593891,0.0283556366965187,,,-0.018823675215672526,-0.019279319956850616,,-0.053846299953912304,,,0.12347178879529347,-0.010284191287111517,-0.03890359771587118,-0.031018500377197025,0.029248943865626337,-0.01916609989198088,0.12347178879529347
global_position-local_pose.pose.orientation.y,-0.048114612612900336,0.058783019724328436,-0.029497910824349643,-0.2002755963524013,0.3823788095903605,,-0.3823788095903605,0.5714807088540231,-0.5640225268830977,-0.35981490800083477,-0.002771025491997488,1.0,0.02103464287598961,0.3610205458704265,0.14499197358858343,0.10825638991577767,-0.006961338863802522,0.885869501743111,0.01767434949577062,-0.16792363840204355,-0.16470062673338606,0.24816231070677292,-0.21348741008329924,0.08644364525710052,-0.04750450880791793,0.18286711580163292,0.16331568380430522,,-0.1360526745483819,-0.17178086159648287,-0.1379772850370174,0.21005716315821407,0.0722620872366675,-0.0053328669844270515,-0.05084655137060115,-0.06984552440136327,0.07624908697045711,0.19665016962111814,-0.012851928774493239,0.012334015085620596,-0.0007244927623687454,,,-0.012479958062474405,-0.010549774968799547,,0.010541579194632974,,,-0.33391116933964726,0.011701775118413549,0.21129547795948697,0.21119591405757085,-0.0040545733050880136,0.05747901070473203,-0.33391116933964726
global_position-local_pose.pose.orientation.z,0.12736202816279857,-0.07650199734951696,0.08228979935046406,0.10858368822584286,-0.1777072371628539,,0.1777072371628539,-0.2589770177860113,0.2731727287808789,0.07645079969473077,-0.09045730140922961,0.02103464287598961,1.0,-0.128253393301392,-0.14706852969415393,-0.10945904479937231,-0.08396658949282117,0.023402709805244334,0.9753865325149036,-0.6890486191904652,0.13924241296453085,-0.1483261961785241,0.16195473866491467,-0.06715623504715222,-0.22634372108889578,-0.010683073053330312,-0.13517248659485306,,-0.011606069148235611,0.05283950854380697,-0.626934633341544,-0.09669928117572694,0.13656526483945147,0.03689173996164737,0.1560699127390388,-0.23215981936029373,0.23724094158701955,-0.2992114610485009,0.03383894584324347,-0.023392768147050835,0.011122304713327714,,,-0.022607627198061617,-0.029376466580576494,,-0.04071118780499238,,,0.10622089754911239,-0.005458174669620176,-0.1293013352269576,-0.12253471017908958,0.04035016434320721,0.03343785430409465,0.10622089754911239
global_position-local_twist.twist.linear.x,-0.058399471675487785,0.07861519322591307,-0.05522119957965399,-0.09012307011245864,0.24830759214854775,,-0.24830759214854775,0.3809290503997912,-0.3824039292923399,-0.3075847158504888,-0.10430837078020537,0.3610205458704265,-0.128253393301392,1.0,0.19141836251780545,0.027665399457858446,-0.07332054866016524,0.3700504566355303,-0.11562583972542684,0.060289473948321674,-0.1814310525432759,0.21989550421468948,-0.27749195533107607,0.018624595110530454,-0.001356404072582373,0.09115105731856774,0.06685376562659494,,-0.10173045926051767,-0.1521488423401166,-0.09646269177635053,0.09575208820007385,-0.09985419223890174,0.0070837955457978925,-0.187316838602215,0.12768835567136985,-0.12455935811074186,0.13489956805947959,-0.03277425331404406,0.03181480375607215,-0.0225425181295801,,,0.00717510722711129,0.008587870783292395,,0.03659852736311237,,,-0.2999668992615944,0.02213410911267113,0.10417988721828429,0.09793676289517945,-0.020640172680290243,0.0005794519579312958,-0.2999668992615944
global_position-local_twist.twist.linear.y,-0.062217684122600106,0.03540702931076071,-0.043645455480776384,0.1518222971413524,0.04574266225167495,,-0.04574266225167495,0.08851970521684663,-0.09230991961348908,-0.10221805960214184,0.07270522077764754,0.14499197358858343,-0.14706852969415393,0.19141836251780545,1.0,-0.05782674992839781,0.05705701176897291,0.1536481208753658,-0.15469584745099485,-0.009893441230248339,-0.12878125140390978,0.11758339794632595,-0.11004521821373593,-0.09886608696259797,-0.05069007742972058,-0.15741304362720346,-0.1256766671650746,,-0.06445740369585466,-0.05431057531494625,0.09524824290624648,-0.10945067968363513,-0.14880519652506957,0.06821136459641647,-0.17903604131213613,0.08219983067481054,-0.08445354328779067,0.03446265805864001,-0.02293927776343529,0.02845880765807813,-0.018059980175790566,,,-0.015520357293130985,-0.009465053450822537,,0.007476269047849412,,,-0.06780973531572966,0.032962264245783995,-0.12505876649210015,-0.12419061826112993,-0.0014752286409977966,-0.0037993465133861048,-0.06780973531572966
global_position-local_twist.twist.linear.z,-0.028549257018871177,0.030571465879936435,-0.033364183302909474,0.15531541349570363,-0.10590267393139385,,0.10590267393139385,-0.008686093866617442,0.005788783423658147,-0.12966738564583116,-0.00849002054452514,0.10825638991577767,-0.10945904479937231,0.027665399457858446,-0.05782674992839781,1.0,0.00351505091243966,0.10808867581330739,-0.098938288648619,0.10035293128480947,-0.05987404057711855,0.12311284511866777,-0.06443178050950504,-0.1242462036333047,-0.05086441002716938,-0.16230720090547157,-0.15928433099653339,,0.019466550492777023,-0.05640220296986661,0.023531183988028632,-0.16854743003247422,-0.1329509224441196,-0.47642694989944545,-0.16653501213916302,0.2184540898444678,-0.21339244159195206,0.10726498916211903,-0.019780710589535722,0.008489850137843683,-0.006110224854332135,,,-0.011151560681675905,-0.011256883476105062,,-0.0054998112797526345,,,-0.13554317932847976,-0.005623955512961323,-0.14022727283933012,-0.1431487836952809,0.01524383879767917,-0.04927870622717452,-0.13554317932847976
imu-data_orientation.x,-0.000569891847235208,-0.05194188342268712,0.03435951307221282,0.027211178729109796,-0.17272555433106374,,0.17272555433106374,-0.1256411668481379,0.12937353592164125,0.202372994588422,0.9057026852996761,-0.006961338863802522,-0.08396658949282117,-0.07332054866016524,0.05705701176897291,0.00351505091243966,1.0,-0.0019439353054045753,-0.08916385208120232,0.10724901840719418,0.03339282199125337,-0.03652819463434549,0.1553894733958931,-0.04044723785133586,-0.0017824131226522304,-0.06366408361393658,-0.014639040498549255,,0.2179672640733455,0.17962753759912686,0.007690051515169636,-0.055092243291473345,0.18366347319450588,-0.047317002011991835,0.13934323998207263,-0.07180024621120308,0.07263823395739781,0.01451798215599117,0.02285433207983963,-0.02030176690812507,0.02604667799636847,,,-0.01892477048620517,-0.019384798305782908,,-0.05402083671016018,,,0.1327845999256228,0.0004863995381967949,-0.03908158105172692,-0.031373393968621724,0.03503219974977942,-0.02007148545746118,0.1327845999256228
imu-data_orientation.y,-0.04852555990946863,0.05842623236605751,-0.02941643317038763,-0.1955947086317329,0.3783650245615756,,-0.3783650245615756,0.5701792762255968,-0.5630383429443797,-0.3567078796953184,-0.020134504127567916,0.885869501743111,0.023402709805244334,0.3700504566355303,0.1536481208753658,0.10808867581330739,-0.0019439353054045753,1.0,0.021059150496685733,-0.17554632884821766,-0.1877190833077499,0.2611548243630787,-0.2084330019635328,0.0903661842502703,-0.04976797280895008,0.17037974545847223,0.15461199642129755,,-0.13417956014876978,-0.16785595792310423,-0.14447161332259637,0.20434841252808458,0.08327096258458705,0.002560536767248141,-0.05350808701469846,-0.07007847531408853,0.07623597188432267,0.197162391873777,-0.011509719399108359,0.01578771554064055,-0.006565965430307559,,,-0.015339288952471518,-0.013409365706770912,,0.007731671066463858,,,-0.3236299946061554,0.00620806974409168,0.20372768768203225,0.20520696312839382,-0.012405613813652154,0.05636509114758478,-0.3236299946061554
imu-data_orientation.z,0.12626051300711796,-0.07549607384058402,0.08146534932900128,0.11273207476158732,-0.18211756503580612,,0.18211756503580612,-0.25845066420021134,0.27217099596809735,0.06992438972387294,-0.10932588231173955,0.01767434949577062,0.9753865325149036,-0.11562583972542684,-0.15469584745099485,-0.098938288648619,-0.08916385208120232,0.021059150496685733,1.0,-0.6967678433026092,0.14182569976039971,-0.1518804062018056,0.16123052590633746,-0.06806626590927994,-0.22789540010540923,-0.012807769161846241,-0.13955519720927523,,-0.01699145484353413,0.04215667919508475,-0.6408882957506332,-0.09933014410115887,0.13994141360141094,0.04738762386402707,0.15446655203261322,-0.22818548422552903,0.23300896898783457,-0.29521152918656574,0.03390279020011767,-0.023444175823521863,0.011190940067385698,,,-0.022644205418434492,-0.029419512378637394,,-0.04078136990368603,,,0.10896525902362492,0.0005635562428364854,-0.13435605837177125,-0.12774883282635552,0.038472958225329444,0.031854003442178216,0.10896525902362492
imu-data_orientation.w,-0.1316450633564779,0.09020250042562267,-0.13176913639051943,0.16940441509734888,-0.03128875166121703,,0.03128875166121703,0.03784301599319271,-0.05922831720318674,-0.16353750946201254,0.11636303783883563,-0.16792363840204355,-0.6890486191904652,0.060289473948321674,-0.009893441230248339,0.10035293128480947,0.10724901840719418,-0.17554632884821766,-0.6967678433026092,1.0,-0.10223356778429818,0.14362981336369704,-0.14694033110476426,-0.10987336396319848,0.0608536439276326,-0.20994738362691026,-0.13344006844138528,,-0.09148423870389048,-0.14521242951520882,0.5387245603005701,-0.19003329538646999,-0.2985258330160155,-0.027590454071099384,-0.34128724267085286,0.4471843678767222,-0.45141878405812413,0.3173637155049436,-0.03579529751947991,0.018651929877167305,-0.025101654705352253,,,0.023605669575994193,0.029618736429695633,,0.046795659384915554,,,-0.2030854637269912,-0.0002603986895903859,-0.1711322206347567,-0.17031219940175696,-0.05636799538372124,-0.09538423272351355,-0.2030854637269912
imu-data_angular_velocity.x,0.05011214473611839,-0.03676998844194015,0.05525999786811688,-0.07933118413548762,-0.1509475396832903,,0.1509475396832903,-0.2258448203696216,0.22433224885220737,0.2045430660610613,0.06659696567567944,-0.16470062673338606,0.13924241296453085,-0.1814310525432759,-0.12878125140390978,-0.05987404057711855,0.03339282199125337,-0.1877190833077499,0.14182569976039971,-0.10223356778429818,1.0,-0.34060663910142985,0.25808264081917504,0.10813731807183027,0.0651000906295104,0.0885970207672764,0.0891716886222488,,0.12154697013141175,0.12805122548236433,-0.03823962678667397,0.079315652191518,0.09790849702320854,-0.06356878563818592,0.12016670563097419,-0.052437857872229356,0.04909562505628025,-0.10482359009595035,0.014125123979577952,-0.018935499595157154,0.023291870691437115,,,0.007759051043488313,0.001271303468084166,,-0.020976934451055883,,,0.2485714758219167,0.007818752203813485,0.08110304058586996,0.08393672871195076,0.010482581714818506,-0.0074160598739833675,0.2485714758219167
imu-data_angular_velocity.y,-0.07364048689470121,0.07486430964194413,-0.0736919448068236,0.02045814931145145,0.19405111796212543,,-0.19405111796212543,0.33010327837582093,-0.3344070003097543,-0.3480802076447977,-0.07275200078760127,0.24816231070677292,-0.1483261961785241,0.21989550421468948,0.11758339794632595,0.12311284511866777,-0.03652819463434549,0.2611548243630787,-0.1518804062018056,0.14362981336369704,-0.34060663910142985,1.0,-0.3059880281535682,-0.017811546632675933,-0.06444753035956086,-0.050358139331815384,-0.04295813811524837,,-0.20517215336261124,-0.22476592469383655,0.08776687917865111,-0.03464380082284716,-0.14582272210203542,0.02377121095675006,-0.2173977530116813,0.1488004807983591,-0.1466714530974733,0.18737034591343754,-0.020911253971716847,0.018624380912041223,-0.02429268010875186,,,0.008194534528051812,0.009413195609419221,,0.03127973656964836,,,-0.3728075393830573,0.034944984753527926,-0.026777593697635674,-0.028395088464387937,-0.021731579729211258,-0.0036728988291218133,-0.3728075393830573
imu-data_angular_velocity.z,0.08669317397822703,-0.08254568869367143,0.09263877569466085,0.04518596263310076,-0.2954894649385754,,0.2954894649385754,-0.4550284249648605,0.46365901228877915,0.4139368383495864,0.13836195740495946,-0.21348741008329924,0.16195473866491467,-0.27749195533107607,-0.11004521821373593,-0.06443178050950504,0.1553894733958931,-0.2084330019635328,0.16123052590633746,-0.14694033110476426,0.25808264081917504,-0.3059880281535682,1.0,-0.08590889208454935,-0.039633129220358936,-0.02349911786204937,-0.01215658003668661,,0.18480648007605208,0.22408749717569332,-0.08890246475820629,-0.05236873779012326,0.11124649797836052,-0.05238583901848119,0.20447266940897366,-0.1481860574210347,0.14821221468850615,-0.3447436073080891,0.01767243957304825,-0.009936494984752993,0.01393632211689602,,,-0.009307994875726614,-0.010964722141708612,,-0.04431268694503644,,,0.5113057189967365,-0.008451835958419312,-0.06332523672892185,-0.06023767365970304,0.04910021907049282,-0.0007363561888321468,0.5113057189967365
rc-out_channels_0,0.02044040405656327,0.006203919278743031,0.03168391724360538,-0.7057477901176367,0.41103099663449705,,-0.41103099663449705,0.3451040038430061,-0.34787823128614864,-0.029759154670223335,-0.05188402230252663,0.08644364525710052,-0.06715623504715222,0.018624595110530454,-0.09886608696259797,-0.1242462036333047,-0.04044723785133586,0.0903661842502703,-0.06806626590927994,-0.10987336396319848,0.10813731807183027,-0.017811546632675933,-0.08590889208454935,1.0,0.5637948917410985,0.5854771926792993,0.6381383994656454,,0.0037976299931001224,-0.03496717999602704,0.01822249885871535,0.5478010934755941,0.26715081371651805,0.11410110152602794,0.23395099186774249,-0.21481536644142188,0.21000227883732953,0.25081276299915306,-0.014709039080114754,0.010589462021538773,-0.0008909758971002454,,,0.06417839285263136,0.0537884112161432,,0.022908263284875077,,,-0.03512385567478814,-0.001784806750179962,0.7597290708537803,0.7533176768237346,-0.02241432010498564,0.0650808426912086,-0.03512385567478814
