column,n_outliers_iqr,pct_outliers_iqr,n_outliers_zscore,pct_outliers_zscore,lower_bound_iqr,upper_bound_iqr,mean,median,std
setpoint_raw-global_latitude,12275,34.85730512565668,0,0.0,33.63704191515088,33.63714035228988,33.636973125047774,33.637087308132024,0.00023500803666312724
setpoint_raw-global_altitude,6791,19.28439585403947,1298,3.6859292914951016,0.22799992561340332,5.436000108718872,4.049257819021901,3.012000084,3.392563947273765
setpoint_raw-global_longitude,4139,11.753514127502484,0,0.0,72.99105504812982,72.99147129514873,72.99128815894014,72.99126241896553,0.00012169536850683588
imu-data_angular_velocity.z,582,1.6527048132897912,5,0.23618327822390175,-0.25507351,0.288231898,0.06810385314488965,0.000339787,0.4755617203271825
global_position-local_twist.twist.linear.x,544,1.5447962515973306,73,3.4320639398213446,-0.49,0.47,-0.05250117536436296,0.0,0.6937024521168538
global_position-local_twist.twist.linear.z,513,1.456765582848218,49,2.30371415138693,-0.395,0.28500000000000003,-0.012924306535025862,-0.02,0.3841497500793859
global_position-local_twist.twist.linear.y,501,1.4226891949453357,71,3.3380347907851435,-0.5249999999999999,0.39499999999999996,-0.013968030089327692,0.0,0.77083988287826
battery_voltage,374,1.062047422973165,18,0.8986520219670494,0.001000001000000002,0.041000000999999994,0.030416874821208736,0.02,0.026245544967045925
rc-out_channels_2,364,1.0336504330540963,0,0.0,1227.0,2043.0,1554.8489634748273,1628.0,276.48993711318144
rc-out_channels_3,361,1.0251313360783756,0,0.0,1267.0,1971.0,1544.052813425469,1629.0,267.10663274944596
rc-out_channels_0,351,0.9967343461593071,0,0.0,1120.625,1743.625,1385.948667324778,1458.0,192.78092813487564
vfr_hud_throttle,347,0.9853755501916797,0,0.0,0.07500001043081267,0.27499999850988394,0.15210579388097595,0.1800000071525573,0.07312438914406387
vfr_hud_climb,347,0.9853755501916797,38,1.9143576826196473,-0.36414674359724036,0.48722500466206725,0.014132041095106134,0.02441752,0.4007629348579262
global_position-local_pose.pose.position.z,328,0.9314212693454493,63,2.9619181946403383,-1.8652500000000005,6.296750000000001,3.1120794546309356,1.683,3.785323881375372
imu-data_angular_velocity.y,303,0.860428794547778,9,0.42512990080302315,-0.225106878,0.19579558600000002,-0.036795045332891,-0.000543283,0.3084320887801836
imu-data_angular_velocity.x,220,0.6247337782195087,22,1.0392064241851677,-0.261735261,0.264243067,0.00978063522143936,-2.64e-05,0.20500089197295326
global_position-local_pose.pose.orientation.y,196,0.5565810024137442,54,2.538787023977433,-0.0670449255,0.0891863905,-0.010506248416165152,0.008512493,0.15638863675302633
imu-data_orientation.y,192,0.5452222064461167,54,2.550779404818139,-0.0675443115,0.0898745405,-0.01059402695757358,0.008512493,0.15675048419019363
vfr_hud_groundspeed,173,0.4912679255998864,0,0.0,-1.2281896771036527,2.216669112506088,0.661852763228775,0.2577575147151947,0.8514218107947056
vfr_hud_airspeed,133,0.3776799659236121,0,0.0,-1.359570536762476,2.594130154699087,0.7722806465225823,0.4236757457256317,0.852808218032109
global_position-global_altitude,132,0.37484026693170525,0,0.0,490.07350385209963,517.7260599745681,505.73808475290025,506.0460292067388,6.014676675351255
vfr_hud_altitude,120,0.34076387902882294,0,0.0,536.5999450605468,564.9200134324219,552.9146582147268,553.0599975585938,5.967780038192358
global_position-local_pose.pose.orientation.x,114,0.3237256850773818,41,1.927597555242125,-0.059962603249999996,0.06755969074999998,0.0004988242888112541,-0.0042548,0.03142802385024166
imu-data_orientation.x,114,0.3237256850773818,41,1.9367028814359943,-0.060203695,0.067705089,0.0005154717006620394,-0.004249387,0.031490705875180415
global_position-local_pose.pose.position.x,110,0.31236688910975435,0,0.0,-9.695862913976761,7.74740836196127,-2.614010343206394e+177,-1.753610389,inf
state_system_status,44,0.12494675564390174,0,0.0,5.0,5.0,4.668161434977579,5.0,0.7021329992217499
state_armed,42,0.11926735766008803,0,0.0,1.0,1.0,0.8116591928251121,1.0,0.3918636811297198
global_position-local_pose.pose.position.y,1,0.0028396989919068577,0,0.0,-16.042483542721964,25.554277376536607,7.710845295157785e+214,7.576158973231828,inf
rc-out_channels_1,1,0.0028396989919068577,0,0.0,954.0,1858.0,1372.0765054294175,1441.5,196.50421556959392
battery_temperature,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
battery_percentage,0,0.0,0,0.0,-0.01,-0.01,-0.01,-0.01,0.0
global_position-local_pose.pose.orientation.z,0,0.0,0,0.0,-2.3115068037500004,1.2912852462500002,-0.550766553854381,-0.902122197,0.5070562518461235
battery_current,0,0.0,0,0.0,0.01,0.01,0.01,0.01,0.0
imu-data_orientation.z,0,0.0,0,0.0,-2.3132157925,1.2943231874999999,-0.5499672146930885,-0.902053802,0.5075173920737337
imu-data_orientation.w,0,0.0,0,0.0,-2.7738629819291365,2.108213700548561,-0.2832059280378794,-0.260976729,0.5782502700079548
vfr_hud_heading,0,0.0,0,0.0,-128.0,480.0,192.47959697732998,220.0,90.4933092777087
rc-out_channels_4,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
global_position-global_longitude,0,0.0,0,0.0,72.99083759999999,72.99184399999999,72.99132668666041,72.9913111,0.00012827104585045752
global_position-global_latitude,0,0.0,0,0.0,33.635744450000004,33.63791764999999,33.636883574729914,33.6370815,0.0002702451936136994
setpoint_raw-target_global_latitude,0,0.0,0,0.0,33.63570335,33.63796615000001,33.63694738187221,33.637090349999994,0.0002613740832093966
global_position-raw-satellites_data,0,0.0,0,0.0,10.5,14.5,12.742481203007518,13.0,0.4373702772274668
setpoint_raw-target_global_longitude,0,0.0,0,0.0,72.99087235000002,72.99177755,72.99129030735513,72.99129769999999,0.00012604143101638537
setpoint_raw-target_global_altitude,0,0.0,0,0.0,532.5249633789062,573.6050415039062,554.6409952924348,553.8599853515625,6.217875980928563
state_connected,0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0
setpoint_raw-target_global_yaw,0,0.0,0,0.0,1.5707963705062866,1.5707963705062866,1.5707963705062866,1.5707963705062866,0.0
state_guided,0,0.0,0,0.0,-1.5,2.5,0.7219730941704036,1.0,0.4490346594628766
state_manual_input,0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0
